Player,Consensus Rank
Saquon Barkley,1
Quenten Nelson,2
Bradley Chubb,3
Roquan Smith,4
Josh Rosen,5
Derwin James,6
Minkah Fitzpatrick,7
Denzel Ward,8
Sam Darnold,9
Tremaine Edmunds,10
Baker Mayfield,11
Vita Vea,12
Josh Jackson,13
Harold Landry,14
Mike McGlinchey,15
Da'Ron Payne,16
Calvin Ridley,17
Isaiah Wynn,18
Taven Bryan,19
Derrius Guice,20
Lamar Jackson,21
Jaire Alexander,22
Marcus Davenport,23
Mo Hurst,24
Rashaan Evans,25
Leighton Vander Esch,26
Will Hernandez,27
Courtland Sutton,28
Connor Williams,29
James Daniels,30
Sony Michel,31
DJ Moore,32
Josh Allen,33
Mike Hughes,34
Billy Price,35
Isaiah Oliver,36
Justin Reid,37
Ronald Jones,38
Kolton Miller,39
Nick Chubb,40
Ronnie Harrison,41
Dallas Goedert,42
James Washington,43
Christian Kirk,44
Mike Gesicki,45
Sam Hubbard,46
Hayden Hurst,47
Carlton Davis,48
Frank Ragnow,49
Donte Jackson,50
